dataset,algorithm,k,silhouette,davies_bouldin,calinski_harabasz,bic,aic
full,kmeans,2,0.3718,1.0603,1262.16,,
full,gmm,2,0.2961,1.325,938.2,10502.54,10340.12
full,agglomerative,2,0.3459,1.1093,1140.46,,
full,kmeans,3,0.3364,1.1138,1216.6,,
full,gmm,3,0.1871,2.2339,692.94,9653.14,9406.7
full,agglomerative,3,0.2864,1.0673,898.86,,
full,kmeans,4,0.3271,1.0436,1123.89,,
full,gmm,4,0.1185,2.8055,459.89,7700.71,7370.26
full,agglomerative,4,0.2726,1.2259,854.68,,
full,kmeans,5,0.3032,1.0893,1016.03,,
full,gmm,5,0.0293,5.4898,378.98,4358.99,3944.52
full,agglomerative,5,0.2679,1.099,813.62,,
full,kmeans,6,0.2628,1.2045,977.45,,
full,gmm,6,0.0279,3.9491,342.21,4325.71,3827.23
full,agglomerative,6,0.2259,1.2719,783.24,,
full,kmeans,7,0.2725,1.1024,924.64,,
full,gmm,7,0.029,3.4555,317.09,4351.9,3769.41
full,agglomerative,7,0.2247,1.2931,728.53,,
outliers_removed,kmeans,2,0.3741,1.0542,1281.84,,
outliers_removed,gmm,2,0.2968,1.3197,946.1,10397.6,10235.28
outliers_removed,agglomerative,2,0.3488,1.0536,1113.49,,
outliers_removed,kmeans,3,0.3364,1.1171,1220.18,,
outliers_removed,gmm,3,0.187,2.241,702.03,9544.11,9297.82
outliers_removed,agglomerative,3,0.2881,1.2115,1012.12,,
outliers_removed,kmeans,4,0.3295,1.0322,1132.27,,
outliers_removed,gmm,4,0.0496,3.6196,442.33,4501.49,4171.25
outliers_removed,agglomerative,4,0.2834,1.2057,940.4,,
outliers_removed,kmeans,5,0.3027,1.094,1018.1,,
outliers_removed,gmm,5,0.0309,5.498,384.63,4259.37,3845.17
outliers_removed,agglomerative,5,0.2539,1.1784,839.56,,
outliers_removed,kmeans,6,0.2624,1.2119,981.96,,
outliers_removed,gmm,6,0.0223,4.3493,318.12,4213.69,3715.52
outliers_removed,agglomerative,6,0.2109,1.2453,793.66,,
outliers_removed,kmeans,7,0.2729,1.1061,931.08,,
outliers_removed,gmm,7,0.0406,2.5278,397.46,4275.03,3692.9
outliers_removed,agglomerative,7,0.1945,1.2429,742.76,,
